ZMW	IdxFirst	IdxCombined	IdxSecondCandidate	IdxFirstAlt	IdxSecondAlt	ScoreFirst	ScoreCombined	ScoreSecondCandidate	ScoreFirstAlt	ScoreSecondAlt	ScoreCombinedFirst	ScoreCombinedSecond	ScoresFirst	ScoresCombined	ScoresSecondCandidate	ScoresFirstAlt	ScoresSecondAlt	ReadLengths	IdxsCombined	ClipsFirst	ClipsCombined	ClipsSecondCandidate	ClipsFirstAlt	ClipsSecondAlt	ScoreLead	SignalIncrease	NumPasses	NumAdapters	NumBadAdapters	NumBadAdapterRatio	NumScoredAdapters	NumBarcodedRegions	NumBarcodedRegionsPassed	PassedFilters	IdxFirstNamed	IdxCombinedNamed	IdxSecondCandidateNamed	IdxFirstAltNamed	IdxSecondAltNamed	IdxLowest	IdxHighest	IdxLowestNamed	IdxHighestNamed
m64089e_220615_173331/169	8	8	0	0	0	100	100	0	0	0	100	100	100,100	100,100	-1,-1	-1,-1	-1,-1	12790	8,8	17,12773	17,12773	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/171	8	8	0	0	0	97	97	0	0	0	97	97	94,100	94,100	-1,-1	-1,-1	-1,-1	16878	8,8	18,16861	18,16861	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/179	8	8	0	0	0	100	100	0	0	0	100	100	100,100	100,100	-1,-1	-1,-1	-1,-1	14266	8,8	17,14249	17,14249	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/184	8	8	0	0	0	76	76	0	0	0	76	76	100,52	100,52	-1,-1	-1,-1	-1,-1	5646	8,8	17,5637	17,5637	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	1	0	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/186	8	8	0	0	0	97	97	0	0	0	97	97	94,100	94,100	-1,-1	-1,-1	-1,-1	14013	8,8	16,13996	16,13996	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/190	8	8	0	0	0	97	97	0	0	0	97	97	100,94	100,94	-1,-1	-1,-1	-1,-1	26656	8,8	17,26638	17,26638	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/192	8	8	0	0	0	100	100	0	0	0	100	100	100,100	100,100	-1,-1	-1,-1	-1,-1	15783	8,8	17,15766	17,15766	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/199	8	8	0	0	0	94	94	0	0	0	94	94	94,94	94,94	-1,-1	-1,-1	-1,-1	10356	8,8	16,10340	16,10340	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/201	8	8	0	0	0	97	97	0	0	0	97	97	94,100	94,100	-1,-1	-1,-1	-1,-1	5553	8,8	16,5536	16,5536	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
m64089e_220615_173331/205	8	8	0	0	0	100	100	0	0	0	100	100	100,100	100,100	-1,-1	-1,-1	-1,-1	12195	8,8	17,12178	17,12178	0,0	0,0	0,0	100	-1	1	1	0	0	1	2	2	1	bc1015_BAK8B_OA	bc1015_BAK8B_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	bc1001_BAK8A_OA	8	8	bc1015_BAK8B_OA	bc1015_BAK8B_OA
