| 20230405 22:14:47.191 | INFO | Sending heartbeat
| 20230405 22:14:52.195 | INFO | 147348/34578 61073/14502 187.6/174.2 11.3/10.5 13h 42m
| 20230405 22:14:52.195 | INFO | Sending heartbeat
| 20230405 22:14:57.245 | INFO | 150056/34140 62175/14263 184.4/171.0 11.1/10.3 13h 41m
| 20230405 22:14:57.246 | INFO | Sending heartbeat
| 20230405 22:15:02.250 | INFO | 152816/34289 63447/14409 186.6/173.4 11.2/10.4 13h 40m
| 20230405 22:15:02.250 | INFO | Sending heartbeat
| 20230405 22:15:07.255 | INFO | 155696/34503 64531/14378 186.4/173.7 11.2/10.4 13h 38m
| 20230405 22:15:07.255 | INFO | Sending heartbeat
| 20230405 22:15:12.259 | INFO | 158666/34327 65649/14177 183.3/170.8 11.0/10.3 13h 36m
| 20230405 22:15:12.259 | INFO | Sending heartbeat
| 20230405 22:15:17.264 | INFO | 161638/35665 66981/14757 191.2/178.2 11.5/10.7 13h 34m
| 20230405 22:15:17.264 | INFO | Sending heartbeat
| 20230405 22:15:22.269 | INFO | 164549/35571 68253/15012 194.7/181.3 11.7/10.9 13h 32m
| 20230405 22:15:22.270 | INFO | Sending heartbeat
| 20230405 22:15:27.275 | INFO | 167378/35252 69418/14821 192.4/179.2 11.5/10.7 13h 30m
| 20230405 22:15:27.275 | INFO | Sending heartbeat
| 20230405 22:15:32.280 | INFO | 169979/34663 70365/14415 187.1/174.4 11.2/10.5 13h 30m
| 20230405 22:15:32.280 | INFO | Sending heartbeat
| 20230405 22:15:37.284 | INFO | 172651/34168 71645/14376 186.7/173.8 11.2/10.4 13h 30m
| 20230405 22:15:37.284 | INFO | Sending heartbeat
| 20230405 22:15:42.288 | INFO | 175404/34634 72571/14449 187.8/174.9 11.3/10.5 13h 29m
| 20230405 22:15:42.288 | INFO | Sending heartbeat
| 20230405 22:15:47.292 | INFO | 178317/34095 73880/14189 184.4/171.8 11.1/10.3 13h 27m
| 20230405 22:15:47.292 | INFO | Sending heartbeat
| 20230405 22:15:52.297 | INFO | 181056/33707 75003/13930 181.0/168.6 10.9/10.1 13h 26m
| 20230405 22:15:52.297 | INFO | Sending heartbeat
| 20230405 22:15:57.302 | INFO | 184080/34024 76335/14160 183.7/171.3 11.0/10.3 13h 24m
| 20230405 22:15:57.302 | INFO | Sending heartbeat
| 20230405 22:16:02.307 | INFO | 186851/33877 77437/13968 181.2/168.7 10.9/10.1 13h 23m
| 20230405 22:16:02.307 | INFO | Sending heartbeat
| 20230405 22:16:07.311 | INFO | 189751/33997 78568/13980 181.4/168.7 10.9/10.1 13h 22m
| 20230405 22:16:07.311 | INFO | Sending heartbeat
| 20230405 22:16:12.316 | INFO | 192936/34252 79870/14221 184.7/171.8 11.1/10.3 13h 19m
| 20230405 22:16:12.316 | INFO | Sending heartbeat
| 20230405 22:16:17.320 | INFO | 195685/33919 80982/14001 181.3/168.7 10.9/10.1 13h 19m
| 20230405 22:16:17.320 | INFO | Sending heartbeat
| 20230405 22:16:22.324 | INFO | 198362/33720 82054/13745 177.8/165.5 10.7/9.9 13h 18m
| 20230405 22:16:22.324 | INFO | Sending heartbeat
| 20230405 22:16:27.328 | INFO | 201569/34191 83404/13986 180.7/168.4 10.8/10.1 13h 16m
| 20230405 22:16:27.328 | INFO | Sending heartbeat
| 20230405 22:16:32.333 | INFO | 203905/33876 84442/14028 181.0/168.6 10.9/10.1 13h 17m
| 20230405 22:16:32.333 | INFO | Sending heartbeat
| 20230405 22:16:37.336 | INFO | 206910/34243 85643/13998 180.4/168.4 10.8/10.1 13h 15m
| 20230405 22:16:37.337 | INFO | Sending heartbeat
| 20230405 22:16:42.343 | INFO | 209308/33816 86559/13900 178.9/167.0 10.7/10.0 13h 16m
| 20230405 22:16:42.343 | INFO | Sending heartbeat
| 20230405 22:16:47.349 | INFO | 212356/33971 87889/14009 180.6/168.6 10.8/10.1 13h 14m
| 20230405 22:16:47.349 | INFO | Sending heartbeat
| 20230405 22:16:52.354 | INFO | 215244/34179 89021/14018 180.9/169.1 10.9/10.1 13h 13m
| 20230405 22:16:52.354 | INFO | Sending heartbeat
| 20230405 22:16:57.359 | INFO | 218149/34050 90251/13916 179.2/167.6 10.8/10.1 13h 12m
| 20230405 22:16:57.359 | INFO | Sending heartbeat
| 20230405 22:17:02.371 | INFO | 220936/33997 91486/14049 181.1/169.6 10.9/10.2 13h 11m
| 20230405 22:17:02.371 | INFO | Sending heartbeat
| 20230405 22:17:07.375 | INFO | 224087/34336 92817/14249 183.8/172.2 11.0/10.3 13h 9m
| 20230405 22:17:07.375 | INFO | Sending heartbeat
| 20230405 22:17:12.379 | INFO | 227219/34282 93994/14123 181.8/170.2 10.9/10.2 13h 8m
| 20230405 22:17:12.379 | INFO | Sending heartbeat
| 20230405 22:17:17.385 | INFO | 229848/34132 95146/14164 182.6/170.8 11.0/10.2 13h 8m
| 20230405 22:17:17.385 | INFO | Sending heartbeat
| 20230405 22:17:22.390 | INFO | 232975/34613 96339/14285 184.7/172.6 11.1/10.4 13h 6m
| 20230405 22:17:22.390 | INFO | Sending heartbeat
| 20230405 22:17:27.394 | INFO | 236035/34455 97675/14271 184.2/172.4 11.1/10.3 13h 4m
| 20230405 22:17:27.394 | INFO | Sending heartbeat
| 20230405 22:17:32.398 | INFO | 239398/35399 98993/14458 187.1/175.2 11.2/10.5 13h 2m
| 20230405 22:17:32.399 | INFO | Sending heartbeat
| 20230405 22:17:37.404 | INFO | 242593/35658 100365/14722 189.8/177.3 11.4/10.6 13h
| 20230405 22:17:37.404 | INFO | Sending heartbeat
| 20230405 22:17:42.409 | INFO | 245036/35715 101469/14910 192.8/180.0 11.6/10.8 13h 1m
| 20230405 22:17:42.409 | INFO | Sending heartbeat
| 20230405 22:17:47.414 | INFO | 248255/35899 102780/14891 192.3/179.6 11.5/10.8 12h 59m
| 20230405 22:17:47.414 | INFO | Sending heartbeat
| 20230405 22:17:52.418 | INFO | 251207/35898 104120/15099 195.9/182.5 11.8/11.0 12h 58m
| 20230405 22:17:52.418 | INFO | Sending heartbeat
| 20230405 22:17:57.422 | INFO | 254203/35909 105302/14969 194.5/181.2 11.7/10.9 12h 57m
| 20230405 22:17:57.422 | INFO | Sending heartbeat
| 20230405 22:18:02.427 | INFO | 256890/35936 106344/14858 192.8/179.5 11.6/10.8 12h 57m
| 20230405 22:18:02.427 | INFO | Sending heartbeat
| 20230405 22:18:07.431 | INFO | 260056/35969 107667/14850 192.5/178.9 11.5/10.7 12h 55m
| 20230405 22:18:07.431 | INFO | Sending heartbeat
| 20230405 22:18:12.435 | INFO | 263129/35841 109021/14958 194.3/180.5 11.7/10.8 12h 54m
| 20230405 22:18:12.435 | INFO | Sending heartbeat
| 20230405 22:18:17.441 | INFO | 265832/35909 110217/14996 194.3/180.5 11.7/10.8 12h 54m
| 20230405 22:18:17.441 | INFO | Sending heartbeat
| 20230405 22:18:22.445 | INFO | 268672/35694 111242/14903 193.1/179.5 11.6/10.8 12h 53m
| 20230405 22:18:22.445 | INFO | Sending heartbeat
| 20230405 22:18:27.451 | INFO | 271842/35804 112604/14926 194.1/180.1 11.6/10.8 12h 52m
| 20230405 22:18:27.451 | INFO | Sending heartbeat
| 20230405 22:18:32.462 | INFO | 274842/35419 113891/14898 194.1/180.1 11.6/10.8 12h 51m
| 20230405 22:18:32.462 | INFO | Sending heartbeat
| 20230405 22:18:37.466 | INFO | 277884/35290 115180/14815 194.0/180.2 11.6/10.8 12h 50m
| 20230405 22:18:37.466 | INFO | Sending heartbeat
| 20230405 22:18:42.471 | INFO | 280813/35768 116420/14950 195.7/181.8 11.7/10.9 12h 49m
| 20230405 22:18:42.471 | INFO | Sending heartbeat
| 20230405 22:18:47.475 | INFO | 283326/35027 117433/14653 192.1/178.5 11.5/10.7 12h 49m
| 20230405 22:18:47.475 | INFO | Sending heartbeat
| 20230405 22:18:52.479 | INFO | 286330/35123 118763/14643 191.1/177.3 11.5/10.6 12h 48m
| 20230405 22:18:52.480 | INFO | Sending heartbeat
| 20230405 22:18:57.487 | INFO | 288883/34599 119765/14382 187.6/173.8 11.3/10.4 12h 49m 62.66
| 20230405 22:18:57.487 | INFO | Sending heartbeat
| 20230405 22:19:02.493 | INFO | 291557/34639 120972/14628 191.0/176.9 11.5/10.6 12h 49m
| 20230405 22:19:02.493 | INFO | Sending heartbeat
